ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CLL
10.666,-10.52,-8.995,-12.327,-7.338,8.024,0.0013
11.75,-10.52,-8.995,-12.327,-7.338,8.024,0.0029
12.737,-10.52,-8.995,-12.327,-7.338,8.024,0.0008
-11.029,-2.17,-8.576,8.673,11.365,-1.332,-0.0023
-10.619,-2.17,-8.576,8.673,11.365,-1.332,-0.0036
-8.709,-2.17,-8.576,8.673,11.365,-1.332,-0.0108
-7.835,-2.17,-8.576,8.673,11.365,-1.332,-0.0116
-4.45,-2.17,-8.576,8.673,11.365,-1.332,-0.0132
0.015,-2.17,-8.576,8.673,11.365,-1.332,-0.0124
0.918,-2.17,-8.576,8.673,11.365,-1.332,-0.0128
1.004,-2.17,-8.576,8.673,11.365,-1.332,-0.0129
3.056,-2.17,-8.576,8.673,11.365,-1.332,-0.0151
5.009,-2.17,-8.576,8.673,11.365,-1.332,-0.0154
5.127,-2.17,-8.576,8.673,11.365,-1.332,-0.0155
5.593,-2.17,-8.576,8.673,11.365,-1.332,-0.0148
6.515,-2.17,-8.576,8.673,11.365,-1.332,-0.0124
7.473,-2.17,-8.576,8.673,11.365,-1.332,-0.0114
-8.499,5.3,18.951,8.73,-0.482,6.793,0.0122
-6.76,5.3,18.951,8.73,-0.482,6.793,0.0119
-6.189,5.3,18.951,8.73,-0.482,6.793,0.0122
-5.82,5.3,18.951,8.73,-0.482,6.793,0.012
2.022,5.3,18.951,8.73,-0.482,6.793,0.0109
4.345,5.3,18.951,8.73,-0.482,6.793,0.0111
4.658,5.3,18.951,8.73,-0.482,6.793,0.0111
4.712,5.3,18.951,8.73,-0.482,6.793,0.0111
4.822,5.3,18.951,8.73,-0.482,6.793,0.0111
9.33,5.3,18.951,8.73,-0.482,6.793,0.0116
9.354,5.3,18.951,8.73,-0.482,6.793,0.0117
9.663,5.3,18.951,8.73,-0.482,6.793,0.0119
13.235,5.3,18.951,8.73,-0.482,6.793,0.0124
14.016,5.3,18.951,8.73,-0.482,6.793,0.0077
-9.083,-13.09,1.303,11.661,-17.266,18.126,-0.0012
-8.141,-13.09,1.303,11.661,-17.266,18.126,-0.0014
-6.05,-13.09,1.303,11.661,-17.266,18.126,-0.0018
-1.517,-13.09,1.303,11.661,-17.266,18.126,0.0009
0.928,-13.09,1.303,11.661,-17.266,18.126,0.0026
2.684,-13.09,1.303,11.661,-17.266,18.126,0.0055
6.064,-13.09,1.303,11.661,-17.266,18.126,0.0033
7.371,-13.09,1.303,11.661,-17.266,18.126,0.0029
7.794,-13.09,1.303,11.661,-17.266,18.126,0.0028
8.499,-13.09,1.303,11.661,-17.266,18.126,0.0026
9.573,-13.09,1.303,11.661,-17.266,18.126,0.0024
10.905,-13.09,1.303,11.661,-17.266,18.126,0.0019
12.225,-13.09,1.303,11.661,-17.266,18.126,0.0013
12.744,-13.09,1.303,11.661,-17.266,18.126,0.0011
-13.933,-11.11,-11.626,19.77,-7.98,9.523,0.0028
-12.458,-11.11,-11.626,19.77,-7.98,9.523,0.0028
-11.162,-11.11,-11.626,19.77,-7.98,9.523,0.0029
-10.119,-11.11,-11.626,19.77,-7.98,9.523,0.0031
-3.708,-11.11,-11.626,19.77,-7.98,9.523,0.0013
-2.962,-11.11,-11.626,19.77,-7.98,9.523,0.0008
-2.503,-11.11,-11.626,19.77,-7.98,9.523,0.0008
-1.47,-11.11,-11.626,19.77,-7.98,9.523,0.0005
-1.396,-11.11,-11.626,19.77,-7.98,9.523,0.0005
-0.219,-11.11,-11.626,19.77,-7.98,9.523,0.0002
1.106,-11.11,-11.626,19.77,-7.98,9.523,0.0001
5.655,-11.11,-11.626,19.77,-7.98,9.523,0.0013
6.275,-11.11,-11.626,19.77,-7.98,9.523,0.0014
6.955,-11.11,-11.626,19.77,-7.98,9.523,0.0014
-12.439,-10.1,-5.712,6.248,1.05,18.233,0.0046
-11.714,-10.1,-5.712,6.248,1.05,18.233,0.005
-11.386,-10.1,-5.712,6.248,1.05,18.233,0.0052
-10.968,-10.1,-5.712,6.248,1.05,18.233,0.0056
-6.353,-10.1,-5.712,6.248,1.05,18.233,0.0036
-4.166,-10.1,-5.712,6.248,1.05,18.233,0.0003
-2.698,-10.1,-5.712,6.248,1.05,18.233,-0.0013
0.54,-10.1,-5.712,6.248,1.05,18.233,-0.0028
3.248,-10.1,-5.712,6.248,1.05,18.233,-0.0005
3.527,-10.1,-5.712,6.248,1.05,18.233,-0.0003
5.645,-10.1,-5.712,6.248,1.05,18.233,0.0024
6.372,-10.1,-5.712,6.248,1.05,18.233,0.0034
9.373,-10.1,-5.712,6.248,1.05,18.233,0.0096
9.517,-10.1,-5.712,6.248,1.05,18.233,0.0098
-5.957,-7.79,14.613,0.003,-19.644,9.977,0.0128
-4.687,-7.79,14.613,0.003,-19.644,9.977,0.0101
-1.102,-7.79,14.613,0.003,-19.644,9.977,0.0095
0.027,-7.79,14.613,0.003,-19.644,9.977,0.0096
3.282,-7.79,14.613,0.003,-19.644,9.977,0.0094
4.903,-7.79,14.613,0.003,-19.644,9.977,0.0077
4.932,-7.79,14.613,0.003,-19.644,9.977,0.0076
5.68,-7.79,14.613,0.003,-19.644,9.977,0.0065
6.518,-7.79,14.613,0.003,-19.644,9.977,0.0051
9.403,-7.79,14.613,0.003,-19.644,9.977,0.0005
10.515,-7.79,14.613,0.003,-19.644,9.977,-0.0013
12.397,-7.79,14.613,0.003,-19.644,9.977,-0.003
12.741,-7.79,14.613,0.003,-19.644,9.977,-0.0031
13.895,-7.79,14.613,0.003,-19.644,9.977,-0.0032
-14.477,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0013
-9.807,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0037
-8.545,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0047
-6.264,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0064
-1.741,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0081
-0.277,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0076
0.708,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0072
1.132,-8.94,-9.676,-8.605,-11.772,-14.028,-0.007
4.195,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0052
5.826,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0044
6.539,-8.94,-9.676,-8.605,-11.772,-14.028,-0.004
8.16,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0034
11.512,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0021
13.993,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0032
-11.173,-5.78,1.149,-4.525,13.196,9.883,0.011
-7.914,-5.78,1.149,-4.525,13.196,9.883,-0.0038
-7.453,-5.78,1.149,-4.525,13.196,9.883,-0.006
-7.251,-5.78,1.149,-4.525,13.196,9.883,-0.007
-4.244,-5.78,1.149,-4.525,13.196,9.883,-0.017
-1.008,-5.78,1.149,-4.525,13.196,9.883,-0.0146
-0.483,-5.78,1.149,-4.525,13.196,9.883,-0.0145
1.079,-5.78,1.149,-4.525,13.196,9.883,-0.0145
2.358,-5.78,1.149,-4.525,13.196,9.883,-0.0147
5.102,-5.78,1.149,-4.525,13.196,9.883,-0.0155
10.05,-5.78,1.149,-4.525,13.196,9.883,-0.0002
10.193,-5.78,1.149,-4.525,13.196,9.883,0.0004
10.582,-5.78,1.149,-4.525,13.196,9.883,0.0018
10.67,-5.78,1.149,-4.525,13.196,9.883,0.0021
-12.508,-13.33,-12.68,-19.217,-7.746,12.712,-0.0009
-11.943,-13.33,-12.68,-19.217,-7.746,12.712,-0.001
