ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CA
-12.133,7.25,0.336,-8.796,-12.918,-8.191,0.1484
-11.065,7.25,0.336,-8.796,-12.918,-8.191,0.1593
-7.169,7.25,0.336,-8.796,-12.918,-8.191,0.1864
-3.856,7.25,0.336,-8.796,-12.918,-8.191,0.1968
-3.055,7.25,0.336,-8.796,-12.918,-8.191,0.1981
-2.852,7.25,0.336,-8.796,-12.918,-8.191,0.1983
-2.14,7.25,0.336,-8.796,-12.918,-8.191,0.199
-0.597,7.25,0.336,-8.796,-12.918,-8.191,0.1997
-0.203,7.25,0.336,-8.796,-12.918,-8.191,0.1997
0.029,7.25,0.336,-8.796,-12.918,-8.191,0.1996
1.457,7.25,0.336,-8.796,-12.918,-8.191,0.199
5.9,7.25,0.336,-8.796,-12.918,-8.191,0.1899
6.095,7.25,0.336,-8.796,-12.918,-8.191,0.1891
-14.475,-12.13,11.347,15.802,-14.101,12.127,0.0729
-14.019,-12.13,11.347,15.802,-14.101,12.127,0.0785
-6.24,-12.13,11.347,15.802,-14.101,12.127,0.1491
-4.335,-12.13,11.347,15.802,-14.101,12.127,0.1572
-4.077,-12.13,11.347,15.802,-14.101,12.127,0.1578
-2.294,-12.13,11.347,15.802,-14.101,12.127,0.1608
-1.612,-12.13,11.347,15.802,-14.101,12.127,0.1615
-0.669,-12.13,11.347,15.802,-14.101,12.127,0.1618
0.477,-12.13,11.347,15.802,-14.101,12.127,0.1614
5.771,-12.13,11.347,15.802,-14.101,12.127,0.1475
6.978,-12.13,11.347,15.802,-14.101,12.127,0.1418
9.467,-12.13,11.347,15.802,-14.101,12.127,0.1251
9.915,-12.13,11.347,15.802,-14.101,12.127,0.1214
13.072,-12.13,11.347,15.802,-14.101,12.127,0.0898
-14.726,8.37,-12.996,19.792,19.435,-15.437,0.1016
-14.17,8.37,-12.996,19.792,19.435,-15.437,0.1095
-11.174,8.37,-12.996,19.792,19.435,-15.437,0.1472
-4.918,8.37,-12.996,19.792,19.435,-15.437,0.2092
-2.264,8.37,-12.996,19.792,19.435,-15.437,0.2295
-2.22,8.37,-12.996,19.792,19.435,-15.437,0.2298
0.517,8.37,-12.996,19.792,19.435,-15.437,0.2453
4.522,8.37,-12.996,19.792,19.435,-15.437,0.2515
