ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CN
-14.477,-8.94,-9.676,-8.605,-11.772,-14.028,-1.9253
-9.807,-8.94,-9.676,-8.605,-11.772,-14.028,-1.1791
-8.545,-8.94,-9.676,-8.605,-11.772,-14.028,-0.9965
-6.264,-8.94,-9.676,-8.605,-11.772,-14.028,-0.6858
-1.741,-8.94,-9.676,-8.605,-11.772,-14.028,-0.1402
-0.277,-8.94,-9.676,-8.605,-11.772,-14.028,0.0126
0.708,-8.94,-9.676,-8.605,-11.772,-14.028,0.1114
1.132,-8.94,-9.676,-8.605,-11.772,-14.028,0.1534
4.195,-8.94,-9.676,-8.605,-11.772,-14.028,0.4801
5.826,-8.94,-9.676,-8.605,-11.772,-14.028,0.6795
6.539,-8.94,-9.676,-8.605,-11.772,-14.028,0.7714
8.16,-8.94,-9.676,-8.605,-11.772,-14.028,0.988
11.512,-8.94,-9.676,-8.605,-11.772,-14.028,1.4717
13.993,-8.94,-9.676,-8.605,-11.772,-14.028,1.87
-11.173,-5.78,1.149,-4.525,13.196,9.883,-1.5413
-7.914,-5.78,1.149,-4.525,13.196,9.883,-1.0792
-7.453,-5.78,1.149,-4.525,13.196,9.883,-1.0157
-7.251,-5.78,1.149,-4.525,13.196,9.883,-0.988
-4.244,-5.78,1.149,-4.525,13.196,9.883,-0.5894
-1.008,-5.78,1.149,-4.525,13.196,9.883,-0.2238
-0.483,-5.78,1.149,-4.525,13.196,9.883,-0.1709
1.079,-5.78,1.149,-4.525,13.196,9.883,-0.0119
2.358,-5.78,1.149,-4.525,13.196,9.883,0.1266
5.102,-5.78,1.149,-4.525,13.196,9.883,0.4636
10.05,-5.78,1.149,-4.525,13.196,9.883,1.1569
10.193,-5.78,1.149,-4.525,13.196,9.883,1.1784
10.582,-5.78,1.149,-4.525,13.196,9.883,1.2371
10.67,-5.78,1.149,-4.525,13.196,9.883,1.2504
-12.508,-13.33,-12.68,-19.217,-7.746,12.712,-1.7261
-11.943,-13.33,-12.68,-19.217,-7.746,12.712,-1.6405
-9.368,-13.33,-12.68,-19.217,-7.746,12.712,-1.2775
-6.46,-13.33,-12.68,-19.217,-7.746,12.712,-0.9098
-5.318,-13.33,-12.68,-19.217,-7.746,12.712,-0.7772
-3.722,-13.33,-12.68,-19.217,-7.746,12.712,-0.6015
3.95,-13.33,-12.68,-19.217,-7.746,12.712,0.0701
5.823,-13.33,-12.68,-19.217,-7.746,12.712,0.2991
6.11,-13.33,-12.68,-19.217,-7.746,12.712,0.3367
7.194,-13.33,-12.68,-19.217,-7.746,12.712,0.4816
7.214,-13.33,-12.68,-19.217,-7.746,12.712,0.4845
8.835,-13.33,-12.68,-19.217,-7.746,12.712,0.726
