ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CLN
-0.219,-11.11,-11.626,19.77,-7.98,9.523,-0.1544
1.106,-11.11,-11.626,19.77,-7.98,9.523,-0.1502
5.655,-11.11,-11.626,19.77,-7.98,9.523,-0.1329
6.275,-11.11,-11.626,19.77,-7.98,9.523,-0.1298
6.955,-11.11,-11.626,19.77,-7.98,9.523,-0.1266
-12.439,-10.1,-5.712,6.248,1.05,18.233,-0.0726
-11.714,-10.1,-5.712,6.248,1.05,18.233,-0.0813
-11.386,-10.1,-5.712,6.248,1.05,18.233,-0.0856
-10.968,-10.1,-5.712,6.248,1.05,18.233,-0.0914
-6.353,-10.1,-5.712,6.248,1.05,18.233,-0.118
-4.166,-10.1,-5.712,6.248,1.05,18.233,-0.1129
-2.698,-10.1,-5.712,6.248,1.05,18.233,-0.1095
0.54,-10.1,-5.712,6.248,1.05,18.233,-0.1021
3.248,-10.1,-5.712,6.248,1.05,18.233,-0.105
3.527,-10.1,-5.712,6.248,1.05,18.233,-0.1056
5.645,-10.1,-5.712,6.248,1.05,18.233,-0.1112
6.372,-10.1,-5.712,6.248,1.05,18.233,-0.1132
9.373,-10.1,-5.712,6.248,1.05,18.233,-0.1316
9.517,-10.1,-5.712,6.248,1.05,18.233,-0.1319
-5.957,-7.79,14.613,0.003,-19.644,9.977,-0.2282
-4.687,-7.79,14.613,0.003,-19.644,9.977,-0.2121
-1.102,-7.79,14.613,0.003,-19.644,9.977,-0.2236
0.027,-7.79,14.613,0.003,-19.644,9.977,-0.2245
3.282,-7.79,14.613,0.003,-19.644,9.977,-0.2192
4.903,-7.79,14.613,0.003,-19.644,9.977,-0.2077
4.932,-7.79,14.613,0.003,-19.644,9.977,-0.2074
5.68,-7.79,14.613,0.003,-19.644,9.977,-0.1998
6.518,-7.79,14.613,0.003,-19.644,9.977,-0.1905
9.403,-7.79,14.613,0.003,-19.644,9.977,-0.1595
10.515,-7.79,14.613,0.003,-19.644,9.977,-0.1478
12.397,-7.79,14.613,0.003,-19.644,9.977,-0.138
12.741,-7.79,14.613,0.003,-19.644,9.977,-0.1373
13.895,-7.79,14.613,0.003,-19.644,9.977,-0.1356
-14.477,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0125
